algorithm,  input,                  n,          time_ms,    comparisons,    max_depth
MergeSort    ,random       ,      1000,       0,       8699,     11
QuickSort    ,random       ,      1000,       0,      11325,      6
QuickSelect  ,random       ,      1000,       0,       2708,     12
MergeSort    ,sorted       ,      1000,       0,       5044,     11
QuickSort    ,sorted       ,      1000,       0,      10813,      6
QuickSelect  ,sorted       ,      1000,       0,       2991,     15
MergeSort    ,duplicates   ,      1000,       0,       8518,     11
QuickSort    ,duplicates   ,      1000,       0,       3687,      2
QuickSelect  ,duplicates   ,      1000,       0,       1807,      4
MergeSort    ,random       ,     10000,       1,     120452,     15
QuickSort    ,random       ,     10000,       2,     149013,      9
QuickSelect  ,random       ,     10000,       0,      43533,     19
MergeSort    ,sorted       ,     10000,       0,      69008,     15
QuickSort    ,sorted       ,     10000,       3,     162291,      8
QuickSelect  ,sorted       ,     10000,       0,      28576,     17
MergeSort    ,duplicates   ,     10000,       0,     116835,     15
QuickSort    ,duplicates   ,     10000,       0,      34994,      2
QuickSelect  ,duplicates   ,     10000,       0,      18017,      2
MergeSort    ,random       ,    100000,      14,    1536492,     18
QuickSort    ,random       ,    100000,      12,    1986323,     11
QuickSelect  ,random       ,    100000,       1,     296876,     19
MergeSort    ,sorted       ,    100000,       5,     853904,     18
QuickSort    ,sorted       ,    100000,       6,    2072140,     11
QuickSelect  ,sorted       ,    100000,       0,     303030,     25
MergeSort    ,duplicates   ,    100000,      10,    1483650,     18
QuickSort    ,duplicates   ,    100000,       2,     339858,      2
QuickSelect  ,duplicates   ,    100000,       1,     240328,      4
MergeSort    ,random       ,   1000000,     157,   18674127,     21
QuickSort    ,random       ,   1000000,     101,   24899392,     13
QuickSelect  ,random       ,   1000000,      11,    3092608,     22
MergeSort    ,sorted       ,   1000000,      46,   10066432,     21
QuickSort    ,sorted       ,   1000000,      60,   25045782,     13
QuickSelect  ,sorted       ,   1000000,       4,    3561898,     30
MergeSort    ,duplicates   ,   1000000,      81,   17970719,     21
QuickSort    ,duplicates   ,   1000000,      12,    3397824,      2
QuickSelect  ,duplicates   ,   1000000,       9,    2400065,      3
